symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
SNCA	0.8471685545339479	0.9272631125902151	No data	0.9037639841121249	0.9285669064556789	No data	0.865457038266544	0.9285669064556789	0.7599134970145264	0.607930797611621	No data	No data	No data	No data	0.16727781092716906	No data	No data	No data	No data	No data	No data	0.9938970723548206	No data	No data	0.5	0	1	1	1	0	0.75	0	-0.5884559283183997	-0.7094956642325514	0	No data	No data	-0.08928499999999992	0.75	-1
TMEM175	0.6141623761733009	0.9155891979920524	No data	No data	No data	No data	0.3039653988058105	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8401466635816253	No data	No data	No data	0	0	0	0	0	0.047619999999999864	No data	0.27214002917274427	-0.2914713059315069	0	No data	No data	No data	-1	-1
LRRK2	0.8766749547492598	0.907595763389146	0.15198269940290526	0.9150300330020673	0.9421515329208274	No data	0.607930797611621	0.9818602383993099	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	0.555469799179861	No data	No data	No data	No data	No data	0.9966561258484455	No data	No data	No data	0	0	1	1	0	0.3312249999999999	1	-0.3337153573661179	-0.8336921064117416	0	No data	No data	0	1	0
RIT2	0.5584333760055552	0.8977980126959929	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.41564974509560804	No data	No data	No data	0	0	0	0	0	0.5852550000000001	No data	0.45113565326109617	No data	0	No data	No data	-0.15898499999999985	1	0.5
BST1	0.5588943957426031	0.8813990335793074	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.758796176645021	No data	No data	No data	1	0	0	0	1	0	No data	0.5052094186288809	0	0	No data	No data	0	0.75	-1
SH3GL2	0.5329381769098178	0.8622322127910497	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.28821241153565613	No data	No data	No data	0	0	0	0	0	0.644885	No data	-0.15107314023754947	-0.17669807060708642	0	No data	No data	-0.3181825	0.75	0
HIP1R	0.5218405994446376	0.8479168235625961	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.20942675096987404	No data	No data	No data	1	0	0	0	0	0.5458799999999997	No data	-0.19264430089602003	0	0	No data	No data	0	-1	-1
STK39	0.519628768923599	0.8361563729149383	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.37186989880390475	No data	No data	No data	0	0	1	1	0	0.8623849999999997	No data	-0.8494478016253386	-0.9363405285489007	0	No data	No data	-0.29816499999999985	-1	-1
FAM47E	0.49547136611493325	0.8112946918796575	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07436165403493006	No data	No data	No data	1	0	0	0	0	0	No data	-0.07272348405917894	No data	0	No data	No data	0	-1	0
ITPKB	0.5762136700134288	0.8039714553469614	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5072397167015431	No data	No data	No data	No data	No data	0.7670857031326769	No data	No data	No data	0	0	1	0	0	0	No data	-0.942904771827464	-0.5868290568562781	0	No data	No data	0	0.5	0
