symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
MOBP	0.4547059572172758	0.7342869288246759	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2668977227666657	0.014623084156060716	No data	No data	0	0	0	0	0	0	No data	0.3516357574494686	0	0	No data	No data	0	1	0.5
MAPT	0.7956223193370036	0.6016458632443441	No data	0.8971395011900591	0.9285669064556789	No data	0.607930797611621	0.7599134970145264	No data	No data	No data	No data	No data	No data	0.15145920343829525	No data	No data	No data	No data	No data	No data	0.9873892034636397	No data	0.2603767606170573	0.5	1	1	1	1	0	0	1	-0.41185663679933315	-0.8346783241376273	0	No data	No data	0	0.5	0
STX6	0.36653049995424397	0.589069211448935	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2769125835609194	No data	No data	No data	0	0	0	0	0	0.72549	No data	-0.19722858928943532	-0.2317309482338134	0	No data	No data	-0.029412499999999932	-1	-1
IRF4	0.34812404008752257	0.5711177848117853	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0.6119750000000004	No data	-0.6487809960408418	-0.12055862702313541	0	No data	No data	0	0.5	0
SLCO1A2	0.3464511235268105	0.5615349697204663	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1553715813666902	0.02620090369735158	No data	No data	1	0	0	0	0	0	No data	0.4201917066055427	-0.7478462673722619	0	No data	No data	0	0.75	0.5
EIF2AK3	0.3477273757520398	0.5376797860853489	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6861068601709944	No data	No data	No data	0	0	1	1	0	0.37723999999999974	1	-0.5658470514690561	-0.892412101245259	0	No data	No data	0	0.5	0
SLC2A13	0.3123153455631178	0.5109993397891613	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0547137717850459	No data	No data	No data	0	0	0	0	0	0.4212949999999999	No data	-0.6557616170035424	0	0	No data	No data	0	0.5	0
TRIM11	0.18972936023462275	0.3013801431220732	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.21420495450128257	No data	No data	No data	0	0	0	0	0	0.4764949999999999	No data	-0.6595123984163367	No data	0	No data	No data	0	0.5	-1
RUNX2	0.15037821066935983	0.24318121363354414	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.08359048467159791	No data	No data	No data	0	0	0	0	0	0.9424199999999999	No data	-0.699520733486143	-0.9421198341310694	0	No data	No data	0	0.5	0
STH	0.14528564729325316	0.2351082989727875	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07751117669548169	No data	No data	No data	0	0	0	0	0	No data	No data	No data	No data	0	No data	No data	No data	0.5	1
CD8A	0.12447827862856446	0.19897263937408868	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11569353896204257	No data	No data	No data	1	0	0	0	0	0	No data	0.6109606167951656	-0.1065649757261597	0	No data	No data	No data	1	0
RPIA	0.10380175823521587	0.17013807950984777	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	1	0	0	0	0	0.45337499999999975	No data	-0.026672223379870852	-0.5056323450652125	0	No data	No data	No data	0.5	-1
