symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
MEIS1	0.5629933796431579	0.8460194351738989	No data	No data	No data	No data	0.3039653988058105	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1831758661826017	No data	No data	No data	0	0	1	0	0	0.8589750000000003	No data	-0.9517607834965618	-0.9325045715299226	0	No data	No data	-0.6089749999999998	-1	-1
PRMT6	0.511559248486893	0.8414761194804686	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	1	1	0	0.613335	1	0.010002083767451486	-0.6177189554286352	0	No data	No data	0	-1	-1
CRBN	0.5074824006597736	0.8327942392803201	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03951550184475537	No data	No data	1	0	0	1	1	0	0.7850700000000004	1	-0.3269431131485726	-0.9095531779602564	0	No data	No data	No data	-1	-1
PTPRD	0.5111751232831256	0.8314931464876001	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.18702232400978686	No data	No data	No data	0	0	0	0	0	0.9058599999999999	No data	-0.9717649510314649	-0.5893333516241286	0	No data	No data	-0.31354499999999985	0.5	0
DPH6	0.5016925230616266	0.825246105366971	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.2883899999999997	No data	0.20660554282142107	-0.2570769469448961	0	No data	No data	No data	-1	-1
BTBD9	0.5407143128681128	0.8102388838412312	No data	No data	No data	No data	0.3039653988058105	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.14416888546893997	No data	No data	No data	0	0	0	0	0	0.7875799999999998	No data	-0.054386330485517775	-0.3099206066306684	0	No data	No data	0	-1	-1
CADM1	0.4930269812616327	0.810080050911031	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	No data	1	0	0	0	0	0.9363050000000002	No data	-0.5785580329235258	-0.3053352013645774	0	No data	No data	0	0.5	0
IL5RA	0.48432436554807745	0.7966768050752545	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0	No data	0.17972494269639516	0	0	No data	No data	0	0.5	0
OLFM4	0.4819531269585708	0.7927762976510172	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	0	0	No data	0.23546572202542193	-0.19734394579047826	0	No data	No data	0	0.5	0
DACH1	0.4766319177786582	0.7840233126059791	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.8087800000000002	No data	No data	-0.6467719100616631	0	No data	No data	0	0.5	0
CITED1	0.47649954573814285	0.783805570650751	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	0.5316732652635965	0	0	No data	No data	0	1	0
TRNT1	0.4691519347606658	0.7717193085196933	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.631335	No data	-0.04334236299229011	0	-1	No data	No data	No data	-1	-1
SETBP1	0.4691320527774808	0.7716866041670546	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.4768149999999999	No data	-0.9735361533652844	-0.43428573990479	0	No data	-1	0	-1	0
SEMA6D	0.4591635640780411	0.7552891971947431	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.7437100000000001	No data	-0.7229631173161075	No data	0	No data	No data	0	0.5	0
ASPSCR1	0.45472916361308774	0.7479949451476765	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	No data	0.07032715148989377	-0.5702488687622872	0	No data	No data	0	-1	-1
CCDC148	0.4472389408397505	0.7356740974413848	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	0.6225255261512814	0	0	No data	No data	0	0.5	0.5
LRRN1	0.4439169603532088	0.7302096917893061	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.7765349999999998	No data	-0.7270264638466347	-0.1317761340245982	0	No data	No data	0	0.5	0
TRPM3	0.44172384628641326	0.726602185679381	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.8720199999999998	No data	-0.5555324025838717	-0.6628296517729345	0	No data	No data	0	1	0.5
BCL11B	0.44087061192452975	0.7251986799428142	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.6700200000000003	No data	-0.782663054803084	-0.8417007939539917	0	No data	No data	0	0.75	0
NOVA1	0.44025793293984017	0.7241908695356155	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.9802750000000003	No data	-0.9088351739945822	-0.6044805588678578	0	No data	No data	-0.28994	0.5	0
DCDC2C	0.43944331868289044	0.7228508909391205	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	0.10231298187122317	-0.25459799357483687	No data	No data	No data	0	0.75	0.5
CNTNAP5	0.43897993141110064	0.7220886540634591	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	No data	No data	-0.7721400291727443	0	0	No data	No data	0	0.75	0.5
KLF12	0.4376289869864869	0.71986645306637	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.8507449999999999	No data	-0.7741196082517191	-0.05905544609812324	0	No data	No data	0	-1	0
LINGO2	0.43690204145872447	0.7186706828724295	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.8844900000000002	No data	-0.6067930818920608	-0.414431705980485	0	No data	No data	-0.014027500000000082	0.5	0.5
ACO1	0.435024365966621	0.7137582568728087	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03647584785669726	No data	No data	No data	0	0	0	0	0	0.6681649999999998	No data	0.027714107105647035	0	0	No data	No data	-0.029809999999999982	0.5	-1
TRIB2	0.42847150384841903	0.7048030886603474	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	1	0	0.9125349999999998	No data	-0.8393415294853095	-0.8181895526131974	0	No data	No data	0	-1	-1
FIGN	0.4272370767934557	0.7027725498888078	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.8945999999999998	No data	-0.7839133152740154	-0.8465345878408598	0	No data	No data	0	-1	0
NRIP1	0.4260051974474473	0.7007462019050438	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.23143499999999975	No data	-0.7858928943529901	-0.09005894390651137	0	No data	No data	No data	-1	-1
ENSG00000289710	0.42335002167665775	0.696378639377827	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
AUTS2	0.42335002167665775	0.696378639377827	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.6664000000000001	No data	-0.8200666805584497	-0.7691160018580431	0	No data	No data	0	0.5	-1
DCAF12L2	0.41884811704133174	0.6889733480962984	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.12526999999999971	No data	0.16253386122108782	No data	0	No data	No data	-0.6706275000000002	0.5	0
CDIN1	0.4187287128521583	0.6887769372718385	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.7508899999999997	No data	0.1779537403625755	-0.6007611519457762	0	No data	No data	No data	0.75	0
FAM114A1	0.4179304265596299	0.6874638169369837	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	0.6027297353615337	0	0	No data	No data	0	-1	-1
EPHA4	0.4139594170037854	0.6809318077486921	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	1	0.9290050000000001	0	-0.916857678683059	-0.33644313009510873	0	No data	No data	-0.1227174999999999	0.5	0
OMA1	0.41387283824864596	0.6807893922706811	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	0.273598666388831	-0.7160373884484486	0	No data	No data	No data	-1	-1
ASTN2	0.41377128355775405	0.6806223425155267	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.869305	No data	-0.8295478224630131	No data	0	No data	No data	0	-1	-1
ENOX1	0.41276675077271874	0.6789699623614337	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.8833599999999997	No data	-0.3193373619504063	-0.43957067362037694	0	No data	No data	-0.047434999999999936	-1	0
TEX13C	0.40960398630447425	0.6737674549696877	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	No data	No data	No data	0	No data	No data	No data	No data	No data	No data	0	1	1
NPVF	0.4070561405093285	0.669576442102507	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	0	0	0	0	No data	0.7999583246509689	No data	0	No data	No data	No data	1	0.5
KCNA4	0.4070561405093285	0.669576442102507	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.8698300000000003	No data	-0.783496561783705	0	0	No data	No data	0	0.5	0.5
FRMD4A	0.4039587450924695	0.6644814618366153	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.7305100000000003	No data	-0.9532194207126484	-0.5769789502256353	0	No data	No data	0	0.5	-1
PLXNA2	0.4038945086299681	0.6643757977334744	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.8284050000000001	No data	-0.5803292352573453	-0.21339546391443032	0	No data	No data	-0.17898749999999986	0.5	0
SKOR1	0.40653683611828456	0.6636303257688086	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1018380008564848	No data	No data	No data	0	0	0	0	0	0.6321249999999999	No data	-0.2153573661179412	-0.05377051238253633	0	No data	No data	0	1	0.5
NDST4	0.3996376838029991	0.657373644127023	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.7935800000000001	No data	-0.3330902271306522	0	0	No data	No data	-0.5412849999999999	No data	No data
SLCO3A1	0.3992768201093431	0.6567800507524586	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.8943649999999999	No data	-0.5700145863721608	-0.5512941723678829	0	No data	No data	0	0.5	-1
ADCYAP1	0.39339948385216683	0.6471122788937756	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	0	0	0	0.11931999999999973	No data	-0.19462387997499475	-0.9089657287461056	0	No data	No data	0	0.5	0
EBF3	0.38997442318113934	0.6414783141654159	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	1	0.6502400000000002	No data	-0.9413419462387997	-0.43428573990479	0	No data	No data	-0.5866450000000001	0.5	0
TOX3	0.3920188790570788	0.6412485866952415	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07185404288437355	No data	No data	No data	0	0	0	0	0	0.7569450000000003	No data	-0.9100854344655136	0	0	No data	No data	0	0.5	0
PSMD7	0.387981775845504	0.6382005606061887	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	0	0	0.8456800000000001	No data	-0.42696395082308813	No data	-1	No data	No data	0	-1	-1
LRRTM4	0.38474140922018407	0.6328704035586261	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.7288150000000002	No data	-0.4382162950614712	No data	0	No data	No data	0	0.75	0.5
PDE9A	0.3828740628626498	0.6297987605938832	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	1	0.15683000000000008	1	-0.5156282558866431	No data	0	No data	No data	0	0.5	0
PTK2	0.37926003435431804	0.6238539581220719	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5	0	0	1	1	1	0.8448900000000001	1	-0.8348614294644717	-0.9566003902042993	0	-1	No data	0	-1	-1
KCNK13	0.3773161292463618	0.6206563818262283	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.22794000000000025	No data	-0.143259012294228	-0.1666389176743005	0	No data	No data	-0.12377499999999983	0.5	0.5
MYT1	0.37627832105659964	0.6189492661580644	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	1	0	0.5450499999999998	No data	-0.7507814127943322	-0.25459799357483687	0	No data	No data	0	1	0.5
ACP1	0.3772842486552619	0.6188561396315276	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03495602086266821	No data	No data	No data	0	0	1	1	0	0.3037999999999997	0	0.8277766201291936	0	0	-1	No data	0	-1	-1
PBX3	0.3753074462085798	0.6173522507546104	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.9884799999999998	No data	-0.5275057303604918	-0.6723203524064733	0	No data	No data	-0.6025349999999999	0.5	-1
PKHD1	0.3682925891796309	0.6058133436018421	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	-0.2841216920191707	-0.9740659560350801	0	No data	No data	0	0.75	0.5
CLINT1	0.3670295636119192	0.6037357624484052	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.7200000000000003	No data	-0.6260679308189205	No data	0	No data	No data	0	-1	-1
ACTN1	0.36588860938770806	0.6018589793857712	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.8413550000000001	No data	-0.8738278808085018	0	0	No data	No data	-0.5979199999999999	0.5	-1
