symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
SLC39A8	0.5664211975749484	0.9138715977322003	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.35696524320313144	No data	No data	No data	1	0	0	0	0	0.4673900000000003	No data	-0.541987914148781	-0.9247102645357993	0	-1	No data	0	0.5	0
ERCC4	0.5511793253217273	0.906648137398445	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	1	1	0	0.30131000000000013	No data	-0.01927484892685971	-0.7998058740346825	0	No data	-1	No data	0.5	-1
RGS6	0.5515929220707013	0.9034285965781448	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07799752133357098	No data	No data	No data	0	0	0	0	0	0.7551000000000002	No data	-0.6284642633882058	-0.5716940165100484	0	No data	No data	-0.27040749999999997	0.5	0
VRK2	0.560115511327078	0.9027682214348317	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3715852678018823	No data	No data	No data	0	0	1	1	0	0	No data	0.1595123984163367	No data	0	No data	No data	0	-1	-1
TCF4	0.5709375827211295	0.9001381397725725	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.780216614842389	No data	No data	No data	0	1	1	1	0	0.8956800000000001	No data	-0.8679933319441551	-0.8635153822854807	0	No data	No data	-0.049925	-1	-1
FES	0.5389825608928721	0.8848460284912995	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.034787151196664985	No data	No data	No data	0	0	1	1	0	0.5316299999999998	No data	-0.08095436549281099	-0.9347941848828836	0	No data	-1	0	0.5	-1
ESAM	0.5340370853945811	0.8761031660242933	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.046945767148897415	No data	No data	No data	0	0	0	0	0	0	No data	-0.3887268180871015	-0.6269033581933783	0	No data	No data	0	-1	-1
HCN1	0.5481187071573655	0.8726964629459043	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.19755998751399056	No data	0.490539360592817	No data	1	0	1	1	0	0.7584249999999997	No data	-0.9096686809752031	-0.9275093470025061	0	No data	No data	-0.044945000000000054	1	0.5
PJA1	0.5289542792691708	0.867049970270615	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	0	0	0	0	0	0	No data	-0.672327568243384	-0.5467632477323836	0	No data	No data	0	0.5	-1
KCNV1	0.5247025302806576	0.8630958200210574	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	0	0	0.8	No data	-0.763179829131069	-0.11655552492370824	0	No data	No data	0	1	1
