symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
DRD2	0.629013726590614	0.3322968477571904	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.945828121710807	No data	No data	No data	No data	No data	No data	0.2599867632666257	No data	No data	1	1	0	1	1	0	0.7855550000000001	1	-0.5752240050010419	-0.9552199751574719	0	-1	No data	0	0.75	0
HTR2A	0.5922176472571468	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9417741317803973	No data	No data	No data	No data	No data	No data	0.20872290717998992	No data	0.5548128441703057	1	1	0	1	1	0	0.5753700000000002	1	-0.4718691394040425	-0.17439265309339924	0	-1	No data	0	1	0.5
HTR1A	0.5538323187308826	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9077444820693243	No data	No data	No data	No data	No data	No data	0.06535256074324927	No data	No data	1	1	0	1	1	0	0.40758500000000025	1	-0.2592206709731194	-0.2932470330880932	0	-1	No data	0	0.75	0.5
DRD3	0.5367858785979064	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8778890335301173	No data	No data	No data	No data	No data	No data	0.10165953893394329	No data	No data	1	1	0	1	1	0	0.5125	1	-0.12908939362367156	-0.8627475501063128	0	-1	No data	0	1	1
DRD4	0.529558568607338	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8622991755122835	No data	No data	No data	No data	No data	No data	0.1756891764422148	No data	No data	1	1	0	1	1	0	0	1	0.8782037924567618	-0.2716150181121571	0	-1	No data	0	-1	0
DRD1	0.48142417348263966	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7808734104112627	No data	No data	No data	No data	No data	No data	0.22065597873851656	No data	No data	1	1	0	1	1	0	0.5515700000000002	No data	-0.7457803709106063	-0.8083425998919627	0	-1	No data	0	0.75	0.5
SLITRK1	0.4711786264847671	No data	No data	0.7587043789694554	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.16270078443391084	No data	0.25466221111950804	No data	0	0	0	0	0	0.8778750000000002	No data	-0.7077516149197749	-0.7829136809393918	0	No data	No data	0	1	0.5
HDC	0.43846809930767766	No data	No data	0.6981207088306252	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.136936187487109	No data	0.40165987798199804	No data	0	0	0	0	0	0.3277949999999997	No data	-0.43571577411960827	-0.33376733980058526	0	No data	No data	0	0.5	0
DRD5	0.3899991416560316	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6383273374922022	No data	No data	No data	No data	No data	No data	0.06383273374922022	No data	No data	1	1	0	1	1	0	0.1404600000000002	No data	0.9659304021671182	-0.8359664465454089	0	No data	No data	0	0.75	0.5
TCF4	0.3899883346615432	0.6415011974943384	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	1	1	1	0	0.8956800000000001	No data	-0.8679933319441551	-0.8635153822854807	0	No data	No data	-0.049925	-1	-1
NMUR2	0.3898071317030428	0.641203132386908	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	1	1	0	0	No data	0.1747239008126693	-0.2839467896498363	0	No data	No data	0	0.5	0.5
CACNA1C	0.36185136939769996	0.5929841298127984	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04467792699128969	No data	No data	1	1	0	1	1	0	0.7521050000000002	No data	-0.9779120650135444	-0.9657418232114862	0	-1	No data	-0.17329250000000015	0.5	0
SLC18A2	0.359994612996695	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.587455691153359	No data	No data	No data	No data	No data	No data	0.094162234372466	No data	No data	1	0	0	1	1	0	0.6206249999999998	No data	-0.4845801208585122	-0.9124387881657864	0	-1	No data	-0.09046749999999992	0.5	0
NPAS3	0.35758193870469507	0.588195136863485	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.6838149999999998	No data	-0.8768493436132527	-0.8254307870609742	0	No data	No data	0	0.5	0
RGS6	0.34916942175320603	0.5743571852667912	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.7551000000000002	No data	-0.6284642633882058	-0.5716940165100484	0	No data	No data	-0.27040749999999997	0.5	0
MEIS2	0.34713250112205346	0.5710066054982469	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.9790349999999997	No data	-0.906438841425297	-0.8853996389962199	0	No data	No data	-0.2243175000000001	0.5	0
VRK2	0.34713250112205346	0.5710066054982469	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	1	1	0	0	No data	0.1595123984163367	No data	0	No data	No data	0	-1	-1
