symbol	overallAssociationScore	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	targetName
PRNP	0.8775148366651847	0.9642413862940511	No data	No data	No data	0.9570536656113129	No data	0.4736136552911131	prion protein
NPAS2	0.283469187632509	0.4662852889608077	No data	No data	No data	No data	No data	No data	neuronal PAS domain protein 2
GAL3ST1	0.2722292539847467	0.44779645159326403	No data	No data	No data	No data	No data	No data	galactose-3-O-sulfotransferase 1
MTMR7	0.26121349559841006	0.42891645201142825	No data	No data	No data	0.015198269940290528	No data	No data	myotubularin related protein 7
GRM8	0.23908106916200625	0.3789078395107727	No data	No data	No data	No data	No data	0.28724730187149095	glutamate metabotropic receptor 8
STX6	0.19329898806069468	0.3179621575681127	No data	No data	No data	No data	No data	No data	syntaxin 6
MR1	0.07401805842991686	0.12175408569645058	No data	No data	No data	No data	No data	No data	major histocompatibility complex, class I-related
SEC14L6	0.060849591302693185	0.10009295719472198	No data	No data	No data	No data	No data	No data	SEC14 like lipid binding 6
PRND	0.053809956421003544	0.03310181929463418	No data	No data	No data	0.40118918765997896	No data	No data	prion like protein doppel
KIAA1614	0.049533003369777735	0.08147802934869913	No data	No data	No data	No data	No data	No data	KIAA1614
VPS37A	0.019891591492729413	0.03272015757529895	No data	No data	No data	No data	No data	No data	VPS37A subunit of ESCRT-I
