symbol	overallAssociationScore	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	targetName
MAPT	0.8133666131368155	0.9089504220603032	No data	0.17256791168869876	No data	0.6817925858944818	No data	No data	microtubule associated protein tau
MOBP	0.36713703042047896	0.5992263241020195	No data	No data	No data	0.08722511320976375	0.014623084156060716	No data	myelin associated oligodendrocyte basic protein
RUNX2	0.2922089106167737	0.4806614696356483	No data	No data	No data	No data	No data	No data	RUNX family transcription factor 2
SLC2A13	0.2782266711567723	0.4576617474387578	No data	No data	No data	No data	No data	No data	solute carrier family 2 member 13
EIF2AK3	0.27539787453386944	0.43443008181123427	No data	No data	No data	0.371570199643002	No data	No data	eukaryotic translation initiation factor 2 alpha kinase 3
STX6	0.2516476719918806	0.40915669074355276	No data	No data	No data	0.09569242589612782	No data	No data	syntaxin 6
SLCO1A2	0.22347663933355258	0.3592687424553653	No data	No data	No data	0.15502235339096337	0.02620090369735158	No data	solute carrier organic anion transporter family member 1A2
IRF4	0.21830944356385854	0.3591024577493545	No data	No data	No data	No data	No data	No data	interferon regulatory factor 4
OBSCN	0.12696959928036664	0.20733552262667176	No data	No data	No data	0.030396539880581056	No data	No data	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF
CD8B	0.12039502991718284	0.19804068224570795	No data	No data	No data	No data	No data	No data	CD8b molecule
RPIA	0.11565198062570327	0.19023872631566854	No data	No data	No data	No data	No data	No data	ribose 5-phosphate isomerase A
STH	0.09724470143464889	0.1580350355757512	No data	No data	No data	0.038502283848736	No data	No data	saitohin
MR1	0.09467329324970472	0.1557303785589542	No data	No data	No data	No data	No data	No data	major histocompatibility complex, class I-related
IAPP	0.0881862364364822	0.14505966268354825	No data	No data	No data	No data	No data	No data	islet amyloid polypeptide
DUSP10	0.08227667050531061	0.13381904846441314	No data	No data	No data	0.030396539880581056	No data	No data	dual specificity phosphatase 10
H3-4	0.07713764937523068	0.1268855759212751	No data	No data	No data	No data	No data	No data	H3.4 histone
RMND5A	0.07388763214675853	0.12153954436432736	No data	No data	No data	No data	No data	No data	required for meiotic nuclear division 5 homolog A
RNF103-CHMP3	0.07251389637838335	0.11927985333736807	No data	No data	No data	No data	No data	No data	RNF103-CHMP3 readthrough
KIAA1614	0.06564960950377591	0.10798862265523257	No data	No data	No data	No data	No data	No data	KIAA1614
TRIM17	0.06399205352081688	0.10526206892663209	No data	No data	No data	No data	No data	No data	tripartite motif containing 17
SUPT3H	0.06311398499009666	0.10381771286806442	No data	No data	No data	No data	No data	No data	SPT3 homolog, SAGA and STAGA complex component
CD8A	0.058745460374250665	0.09328820220375802	No data	No data	No data	0.06687238773727831	No data	No data	CD8a molecule
SLCO1B1	0.05003587949163883	0.0823052223842169	No data	No data	No data	No data	No data	No data	solute carrier organic anion transporter family member 1B1
TRIM11	0.04615134987192969	0.07237975749223567	No data	No data	No data	0.07071417263885175	No data	No data	tripartite motif containing 11
H2AW	0.04203087342931971	0.06913759525664184	No data	No data	No data	No data	No data	No data	H2A.W histone
TEX37	0.033955251692643545	0.055853810706816644	No data	No data	No data	No data	No data	No data	testis expressed 37
LRRK2	0.028820685614009318	0.03434795584876741	No data	No data	No data	0.1941042521440001	No data	No data	leucine rich repeat kinase 2
