symbol	overallAssociationScore	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	targetName
DRD2	0.6559113939281362	0.48542701755365153	No data	0.9510743156073818	No data	0.29220154332166687	No data	No data	dopamine receptor D2
SLITRK1	0.46673400570220375	0.7587043789694554	No data	No data	No data	0.18075239699842136	No data	No data	SLIT and NTRK like family member 1
IMMP2L	0.45864001617945666	0.5958058080215055	No data	No data	No data	0.43518332831875156	No data	No data	inner mitochondrial membrane peptidase subunit 2
TCF4	0.42055693249426046	0.6917842197607085	No data	No data	No data	No data	No data	No data	transcription factor 4
SORCS3	0.4157854100300269	0.6839354276235451	No data	No data	No data	No data	No data	No data	sortilin related VPS10 domain containing receptor 3
CACNA1I	0.4098763131627952	0.6742154119730027	No data	No data	No data	No data	No data	No data	calcium voltage-gated channel subunit alpha1 I
SOX5	0.39763240314973725	0.5232600877756698	No data	No data	No data	No data	No data	No data	SRY-box transcription factor 5
HDC	0.3801238424569078	0.6173874989078019	No data	No data	No data	0.15774715902803313	No data	No data	histidine decarboxylase
MEF2C	0.36699281371157527	0.6036753116528735	No data	No data	No data	No data	No data	No data	myocyte enhancer factor 2C
GRIA1	0.3628092289532753	0.218276034441104	No data	0.5319394479101685	No data	No data	No data	0.4628329144916674	glutamate ionotropic receptor AMPA type subunit 1
CACNA1C	0.35467233373424045	0.5834090576224175	No data	No data	No data	No data	No data	No data	calcium voltage-gated channel subunit alpha1 C
GRIK3	0.3533339484836035	0.1970722704107784	No data	0.5319394479101685	No data	No data	No data	No data	glutamate ionotropic receptor kainate type subunit 3
NPAS3	0.3369534892639454	0.5412379865767734	No data	No data	No data	No data	No data	0.2604983467765796	neuronal PAS domain protein 3
SNX19	0.3341104371680569	0.5495862990996297	No data	No data	No data	No data	No data	No data	sorting nexin 19
VRK2	0.3323062059998384	0.5466184758287793	No data	No data	No data	No data	No data	No data	VRK serine/threonine kinase 2
RGS6	0.32767016650897746	0.5389925428951714	No data	No data	No data	No data	No data	No data	regulator of G protein signaling 6
NAA11	0.3253244429499495	0.5351340057586361	No data	No data	No data	No data	No data	No data	N-alpha-acetyltransferase 11, NatA catalytic subunit
SNAP91	0.324507179072033	0.5337896687368447	No data	No data	No data	No data	No data	No data	synaptosome associated protein 91
KCNB1	0.3242615256894205	0.5206707149436234	No data	No data	No data	No data	No data	0.2542974526409411	potassium voltage-gated channel subfamily B member 1
BCL11B	0.3238530815969124	0.5327137280579215	No data	No data	No data	No data	No data	No data	BAF chromatin remodeling complex subunit BCL11B
NGEF	0.3223337583091532	0.5302145566164873	No data	No data	No data	No data	No data	No data	neuronal guanine nucleotide exchange factor
TENM4	0.3221638566386842	0.5299350812697267	No data	No data	No data	No data	No data	No data	teneurin transmembrane protein 4
SHISA9	0.32202012916562595	0.5296986604902187	No data	No data	No data	No data	No data	No data	shisa family member 9
PDE4B	0.3201970703634276	0.526699867191112	No data	No data	No data	No data	No data	No data	phosphodiesterase 4B
IGSF9B	0.31764802144861753	0.5075639362781464	No data	No data	No data	No data	No data	0.2988587801058729	immunoglobulin superfamily member 9B
ENOX1	0.3148669458434194	0.517932217088586	No data	No data	No data	No data	No data	No data	ecto-NOX disulfide-thiol exchanger 1
OLFM4	0.3136740489831247	0.51596999233376	No data	No data	No data	No data	No data	No data	olfactomedin 4
PPP2R2B	0.308876687991079	0.5080786977803451	No data	No data	No data	No data	No data	No data	protein phosphatase 2 regulatory subunit Bbeta
ZSWIM6	0.3076395713094595	0.4932528707954395	No data	No data	No data	No data	No data	0.25581727963497014	zinc finger SWIM-type containing 6
ESR2	0.3063042452991261	0.5038472248856353	No data	No data	No data	No data	No data	No data	estrogen receptor 2
TMEM161B	0.30255542312346767	0.49768069706637297	No data	No data	No data	No data	No data	No data	transmembrane protein 161B
GRM3	0.3007401542118038	0.49469471754568484	No data	No data	No data	No data	No data	No data	glutamate metabotropic receptor 3
RTN1	0.29844622006994515	0.490921370067862	No data	No data	No data	No data	No data	No data	reticulon 1
COL27A1	0.29790533677202574	0.48433230688612217	No data	No data	No data	0.11398702455217895	No data	No data	collagen type XXVII alpha 1 chain
TFAP2B	0.2975688619640245	0.48947818260414483	No data	No data	No data	No data	No data	No data	transcription factor AP-2 beta
MOCS2	0.29555455983473383	0.4861648085536703	No data	No data	No data	No data	No data	No data	molybdenum cofactor synthesis 2
NEGR1	0.29282875350078486	0.4816810641132539	No data	No data	No data	No data	No data	No data	neuronal growth regulator 1
CD47	0.29168302003570895	0.4797964195622999	No data	No data	No data	No data	No data	No data	CD47 molecule
DCC	0.29024340200472254	0.47742835721598964	No data	No data	No data	No data	No data	No data	DCC netrin 1 receptor
LRFN5	0.289691671786763	0.4765208029020331	No data	No data	No data	No data	No data	No data	leucine rich repeat and fibronectin type III domain containing 5
CNTN4	0.2884491050203847	0.47386894412567776	No data	No data	No data	0.012158615952232422	No data	No data	contactin 4
TENM2	0.2859806329207436	0.4704164257581229	No data	No data	No data	No data	No data	No data	teneurin transmembrane protein 2
ZNF536	0.2849290940740497	0.4686867242019177	No data	No data	No data	No data	No data	No data	zinc finger protein 536
FOXP1	0.2833225427366791	0.4660440692423693	No data	No data	No data	No data	No data	No data	forkhead box P1
KIZ	0.27554595752250244	0.45325217706528503	No data	No data	No data	No data	No data	No data	kizuna centrosomal protein
GSDME	0.27016763425950546	0.44440524369042267	No data	No data	No data	No data	No data	No data	gasdermin E
PPP1R16B	0.26689020785097683	0.439014126113546	No data	No data	No data	No data	No data	No data	protein phosphatase 1 regulatory subunit 16B
TSNARE1	0.2661589218953112	0.43781121624528696	No data	No data	No data	No data	No data	No data	t-SNARE domain containing 1
SPPL3	0.26360220492440545	0.43360561096759687	No data	No data	No data	No data	No data	No data	signal peptide peptidase like 3
HCN1	0.2624264931849398	0.4316716544316151	No data	No data	No data	No data	No data	No data	hyperpolarization activated cyclic nucleotide gated potassium channel 1
DPYD	0.25888062533122813	0.4258389710610039	No data	No data	No data	No data	No data	No data	dihydropyrimidine dehydrogenase
NUBPL	0.2582004459037772	0.4247201275509809	No data	No data	No data	No data	No data	No data	NUBP iron-sulfur cluster assembly factor, mitochondrial
GRIN2A	0.25687022227758144	0.42253201069389473	No data	No data	No data	No data	No data	No data	glutamate ionotropic receptor NMDA type subunit 2A
SRPK2	0.25663046216849134	0.42213762352017026	No data	No data	No data	No data	No data	No data	SRSF protein kinase 2
RSRC1	0.25307483836491623	0.41628889235283334	No data	No data	No data	No data	No data	No data	arginine and serine rich coiled-coil 1
ZNF804A	0.25300280184096013	0.4161703977408822	No data	No data	No data	No data	No data	No data	zinc finger protein 804A
ZNF608	0.25298865943099724	0.41614713455037033	No data	No data	No data	No data	No data	No data	zinc finger protein 608
NR4A2	0.24956218700095958	0.4105108475856381	No data	No data	No data	No data	No data	No data	nuclear receptor subfamily 4 group A member 2
RPTOR	0.24572040794314945	0.40419141275374054	No data	No data	No data	No data	No data	No data	regulatory associated protein of MTOR complex 1
MRPS33	0.24336210601015143	0.40031218514713945	No data	No data	No data	No data	No data	No data	mitochondrial ribosomal protein S33
CCDC68	0.2367483492019875	0.38943305740077855	No data	No data	No data	No data	No data	No data	coiled-coil domain containing 68
