symbol	overallAssociationScore	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	targetName
SORCS3	0.5181603403430902	0.8523344143425333	No data	No data	No data	No data	No data	No data	sortilin related VPS10 domain containing receptor 3
TCF4	0.5099374702097857	0.838808417361282	No data	No data	No data	No data	No data	No data	transcription factor 4
OLFM4	0.4965885869824087	0.8168505180743553	No data	No data	No data	No data	No data	No data	olfactomedin 4
NEGR1	0.49313706449090955	0.8111730256606478	No data	No data	No data	No data	No data	No data	neuronal growth regulator 1
GRM5	0.4900161163518385	0.8051274067587311	No data	No data	No data	0.01823792392834863	No data	No data	glutamate metabotropic receptor 5
MEF2C	0.4671487568739887	0.7684242330036197	No data	No data	No data	No data	No data	No data	myocyte enhancer factor 2C
CELF4	0.4645959435833763	0.7642250489835937	No data	No data	No data	No data	No data	No data	CUGBP Elav-like family member 4
DCC	0.4635106244201565	0.7624397813717476	No data	No data	No data	No data	No data	No data	DCC netrin 1 receptor
SHISA9	0.46196651680163986	0.7598998415881686	No data	No data	No data	No data	No data	No data	shisa family member 9
TMEM106B	0.4596870834850648	0.7561503468668447	No data	No data	No data	No data	No data	No data	transmembrane protein 106B
DRD2	0.7162267157618073	0.7523777082710527	No data	0.9900441350443203	No data	No data	No data	No data	dopamine receptor D2
LIN28B	0.4564466985666197	0.7508201597284802	No data	No data	No data	No data	No data	No data	lin-28 homolog B
FHIT	0.44996218269997773	0.7401536235172573	No data	No data	No data	No data	No data	No data	fragile histidine triad diadenosine triphosphatase
VRK2	0.4487423116052713	0.7381470281950612	No data	No data	No data	No data	No data	No data	VRK serine/threonine kinase 2
PAX5	0.44775214461751534	0.7365182786866533	No data	No data	No data	No data	No data	No data	paired box 5
ESR2	0.44265023855718927	0.7281260306209689	No data	No data	No data	No data	No data	No data	estrogen receptor 2
TLR4	0.44175931172921845	0.7266605236397944	No data	No data	No data	No data	No data	No data	toll like receptor 4
SOX5	0.4406503879552569	0.7248364282356494	No data	No data	No data	No data	No data	No data	SRY-box transcription factor 5
NKAIN2	0.43514096459473767	0.7157738451551999	No data	No data	No data	No data	No data	No data	sodium/potassium transporting ATPase interacting 2
LRFN5	0.43470772046894707	0.7150611914658447	No data	No data	No data	No data	No data	No data	leucine rich repeat and fibronectin type III domain containing 5
TENM2	0.4295055715663734	0.706504051536413	No data	No data	No data	No data	No data	No data	teneurin transmembrane protein 2
METTL9	0.4281628133298438	0.7042953161971196	No data	No data	No data	No data	No data	No data	methyltransferase like 9
CACNA1C	0.42759304630849504	0.7033580927111781	No data	No data	No data	No data	No data	No data	calcium voltage-gated channel subunit alpha1 C
ENOX1	0.42734424364096923	0.7029488312154565	No data	No data	No data	No data	No data	No data	ecto-NOX disulfide-thiol exchanger 1
PCDH9	0.42564654349233577	0.7001562433825925	No data	No data	No data	No data	No data	No data	protocadherin 9
ELAVL2	0.42262394385267427	0.6951842964907153	No data	No data	No data	No data	No data	No data	ELAV like RNA binding protein 2
ZNF804A	0.4209947800794362	0.6925044457911973	No data	No data	No data	No data	No data	No data	zinc finger protein 804A
RBFOX1	0.4193304104250749	0.6897666840905233	No data	No data	No data	No data	No data	No data	RNA binding fox-1 homolog 1
SEMA6D	0.41875645855384036	0.6888225768442884	No data	No data	No data	No data	No data	No data	semaphorin 6D
TMEM161B	0.41583667878595304	0.6840197608340479	No data	No data	No data	No data	No data	No data	transmembrane protein 161B
CTTNBP2	0.41320140947311285	0.6796849429185987	No data	No data	No data	No data	No data	No data	cortactin binding protein 2
TENM4	0.4126725378308792	0.6788149892259886	No data	No data	No data	No data	No data	No data	teneurin transmembrane protein 4
CDH9	0.4112214606050427	0.6764280773742822	No data	No data	No data	No data	No data	No data	cadherin 9
