symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
IL4R	0.7217112305439167	0.8784322001801678	No data	0.9534419028947516	No data	0.634959878968844	No data	No data	interleukin 4 receptor
FLG	0.7075120417441179	0.9259562458303916	No data	No data	No data	0.2861225008750698	No data	No data	filaggrin
ADORA1	0.7013904600042015	0.6442283894510021	No data	0.9905034621838338	No data	0.09780697832200885	No data	No data	adenosine A1 receptor
IL33	0.6862434128427753	0.8786490936775193	No data	0.16253705352810702	No data	0.9156767666877733	No data	No data	interleukin 33
TSLP	0.6756739289554295	0.7874171965748702	No data	0.8940868618589651	No data	0.9221015750308375	No data	No data	thymic stromal lymphopoietin
PDE4D	0.6649272265941069	0.3893027896486526	No data	0.9911369683094475	No data	0.23814594175214776	No data	No data	phosphodiesterase 4D
IL5	0.6255853499880238	0.14696491789272323	No data	0.9749436557991759	No data	0.755346139473417	No data	No data	interleukin 5
IL13	0.5580698228303592	0.7316194823001874	No data	0.6608941403961972	No data	0.9512759332826733	No data	No data	interleukin 13
OTULINL	0.5347599226186479	0.8745649332646587	No data	No data	No data	0.10149066926794008	No data	No data	OTU deubiquitinase with linear linkage specificity like
SMAD3	0.5299860829090107	0.8555470972934245	No data	No data	No data	0.3247953120946878	No data	No data	SMAD family member 3
BACH2	0.5295662494352364	0.8650630673252405	No data	No data	No data	0.12066402775635517	No data	No data	BTB domain and CNC homolog 2
IL1RL1	0.528077114743077	0.8119662452276196	No data	0.12158615952232422	No data	0.8634187342238822	No data	No data	interleukin 1 receptor like 1
CARD11	0.5255175894116693	0.6890649639014133	No data	No data	No data	0.1397396486176712	No data	No data	caspase recruitment domain family member 11
PRR5L	0.5212161794193133	0.8559931932889547	No data	No data	No data	0.02735688589252295	No data	No data	proline rich 5 like
TNFRSF11A	0.5176626626645974	0.8418954363490845	No data	No data	No data	0.19240672005075798	No data	No data	TNF receptor superfamily member 11a
IL18R1	0.5152788478829494	0.8334575432308169	No data	No data	No data	0.28274069630890103	No data	No data	interleukin 18 receptor 1
JAZF1	0.5141434560365009	0.8253697064359896	No data	No data	No data	0.4071447647337829	No data	No data	JAZF zinc finger 1
IL2RA	0.5133015869662131	0.811285393432971	No data	0.12158615952232422	No data	0.1197090298904854	No data	No data	interleukin 2 receptor subunit alpha
