symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
GCK	0.9124757633834799	0.971727759068359	0.037995674850726316	0.6100663098784075	0.607930797611621	0.9098484661551578	No data	0.9731043919591428	glucokinase
KCNJ11	0.9112511478026819	0.9464598841655476	0.7634006072317878	0.9987322996822127	No data	0.7924970893403118	No data	0.5859323815753482	potassium inwardly rectifying channel subfamily J member 11
ABCC8	0.9085789675865076	0.9337373801570605	0.67225737661396	0.9987228587877708	0.607930797611621	0.433547404384244	No data	0.8789634465272606	ATP binding cassette subfamily C member 8
INSR	0.8949909029895631	0.9225708447746273	0.19453785523571876	0.9994506976432587	No data	0.719083015193154	No data	0.8239184363809264	insulin receptor
HNF1B	0.8683994590516964	0.9316675249213529	0.24528318986968878	No data	No data	0.7133707986570643	No data	0.5727643344537212	HNF1 homeobox B
INS	0.868269834275922	0.9399897860999408	0.18237923928348632	No data	No data	0.9789011046255196	No data	0.9239268792744276	insulin
HNF4A	0.8642013504781179	0.9267169421481737	0.2942917344520128	No data	No data	0.3422693131561007	No data	0.929370406976496	hepatocyte nuclear factor 4 alpha
HNF1A	0.852743134405187	0.9184488170205825	0.6393544702809761	No data	No data	0.9523378340022485	No data	0.5410867388368678	HNF1 homeobox A
PPARG	0.8402229263610889	0.8938965770486957	No data	0.9977779903473597	No data	0.8946710210057164	No data	0.8119386047323663	peroxisome proliferator activated receptor gamma
PTF1A	0.8134371645942164	0.8930911762265722	0.19453785523571876	No data	No data	0.22891123923258225	No data	0.405736813893481	pancreas associated transcription factor 1a
NEUROD1	0.8115949451622738	0.8935883817863347	No data	No data	No data	0.3560862257833908	No data	0.27867547762516715	neuronal differentiation 1
GLIS3	0.8090352872263089	0.8890241032788005	0.015198269940290528	No data	No data	0.7364317045995896	No data	0.5527899806742808	GLIS family zinc finger 3
PDX1	0.791327546114416	0.8846532601441295	No data	No data	No data	0.39414216688789133	No data	0.9497953506955855	pancreatic and duodenal homeobox 1
GATA6	0.773689061160378	0.8920361334352266	No data	No data	No data	0.3434007409537163	No data	No data	GATA binding protein 6
ZFP57	0.7518900194412975	0.8987775055926573	0.19453785523571876	No data	No data	0.1634154260563083	No data	No data	ZFP57 zinc finger protein
GLP1R	0.7499465049806907	0.8211513238430612	No data	0.997760489071198	No data	0.8005507311110369	No data	0.9247432841149206	glucagon like peptide 1 receptor
WFS1	0.7437528155190556	0.8906797362620529	No data	No data	No data	0.4275915766057385	No data	0.6145670391986265	wolframin ER transmembrane glycoprotein
SLC2A2	0.7331060914297874	0.8707855344294463	0.19892846655180269	No data	No data	0.3477715171308246	No data	0.7878617415333035	solute carrier family 2 member 2
MT-ND1	0.7164258805938264	0.5228204859459941	No data	0.9992953638113092	No data	0.08106493542692819	No data	No data	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1
MT-ND6	0.7131560002161565	0.6839221473130737	No data	0.9992953638113092	No data	0.12652054059898335	No data	No data	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6
CAVIN1	0.7060660056010463	0.8141261549970427	No data	No data	No data	0.07117856422036063	No data	0.2538111080028518	caveolae associated protein 1
PAX4	0.7035177882646253	0.7691125230201952	0.2777703362153898	No data	No data	0.6236494786473586	No data	No data	paired box 4
CEL	0.7013233295556345	0.7866749938835518	0.012158615952232422	No data	No data	0.35806078126898877	No data	No data	carboxyl ester lipase
ACE	0.700268493541826	0.6209215612804907	No data	0.975619146748458	No data	0.7044681361656469	No data	0.4307291022877938	angiotensin I converting enzyme
GPD2	0.6966329814995602	0.547137717850459	No data	0.9992953638113092	No data	0.1358802071776958	No data	0.3658527540026736	glycerol-3-phosphate dehydrogenase 2
MT-ND2	0.6962880439259896	0.57753425773104	No data	0.9992953638113092	No data	0.07479147164812387	No data	No data	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2
AKT2	0.6960210714567773	0.7964523129153911	No data	No data	No data	0.743631605877095	No data	0.8665203339678439	AKT serine/threonine kinase 2
IL2RA	0.6949234886319084	0.7763465882897332	No data	0.809529854773635	No data	0.3782682884330831	No data	No data	interleukin 2 receptor subunit alpha
MT-ND4L	0.6917734785108993	0.547137717850459	No data	0.9992953638113092	No data	0.08257726667557853	No data	No data	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L
MT-ND4	0.6917698262443711	0.547137717850459	No data	0.9992953638113092	No data	0.08230692012558621	No data	No data	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4
MT-ND5	0.6915692970479717	0.547137717850459	No data	0.9992953638113092	No data	0.06746343156828963	No data	No data	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5
MT-ND3	0.6915407800838755	0.547137717850459	No data	0.9992953638113092	No data	0.06535256074324927	No data	No data	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3
CALCR	0.6845283162306701	0.6108254795272562	No data	0.9716689763591839	No data	0.07297900200729268	No data	No data	calcitonin receptor
C12orf43	0.6830854620233535	0.8280901054717222	0.6181474124048163	No data	No data	0.030396539880581056	No data	No data	chromosome 12 open reading frame 43
GIPR	0.6770408615139308	0.5912694468875734	No data	0.9438683455030222	No data	0.3128035952352136	No data	0.813827484559316	gastric inhibitory polypeptide receptor
ANG	0.6721110616663892	0.8793267630332778	No data	No data	No data	0.28859432273888075	No data	No data	angiogenin
TCF7L2	0.6543389720888735	0.7789785759208623	No data	No data	No data	0.8902977389622972	No data	0.6166007947526052	transcription factor 7 like 2
NDUFA4	0.6504323279557189	0.2663774639102785	No data	0.9992953638113092	No data	0.18099271593600838	No data	No data	NDUFA4 mitochondrial complex associated
PDE3A	0.6434156927177697	0.5975102108580291	No data	0.9066612367713315	No data	0.09868405541896641	0.01105515810515383	No data	phosphodiesterase 3A
CDKAL1	0.6379691088216503	0.7610024387127747	No data	No data	No data	0.8647420169469836	No data	0.34907386398859286	CDK5 regulatory subunit associated protein 1 like 1
APPL1	0.6343170111549988	0.7089052092982783	No data	No data	No data	0.24552867377928758	No data	0.5746041574969658	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1
HMGCR	0.6304638733233694	0.166698798767946	No data	0.9890466227796242	No data	0.28547442305479387	No data	No data	3-hydroxy-3-methylglutaryl-CoA reductase
NDUFS3	0.6295029690941759	0.10087420361720388	No data	0.9992953638113092	No data	0.07373936931570817	No data	0.45220172466843417	NADH:ubiquinone oxidoreductase core subunit S3
RFX6	0.6228108029253123	0.8114018762807353	No data	No data	No data	0.4600860077315387	No data	No data	regulatory factor X6
NDUFS4	0.6193170854998648	0.07773686067477903	No data	0.9992953638113092	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit S4
NDUFA13	0.6132343246986334	0.03482639579241567	No data	0.9992953638113092	No data	0.03248714634570102	No data	No data	NADH:ubiquinone oxidoreductase subunit A13
NDUFS5	0.6127807310080214	0.03472963342113356	No data	0.9992953638113092	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit S5
SLC30A8	0.6122602992970682	0.7901222515418169	No data	No data	No data	0.47821761148632086	No data	0.6071025127148203	solute carrier family 30 member 8
ENPP1	0.611301509889826	0.7255175181260642	0.24452327637267426	No data	No data	0.3165047651592435	No data	No data	ectonucleotide pyrophosphatase/phosphodiesterase 1
GCGR	0.6079066251262962	0	No data	0.9594575880676685	No data	0.4721580641489259	No data	0.6002049720786454	glucagon receptor
CACNA1C	0.6075656308183922	0	No data	0.9713467739601174	No data	0.5610510878653691	No data	No data	calcium voltage-gated channel subunit alpha1 C
KCNQ1	0.6072698119262472	0.7843516105568751	No data	No data	No data	0.8312946993971672	No data	No data	potassium voltage-gated channel subfamily Q member 1
MGAM	0.6049124261530818	0	No data	0.9905207271736821	No data	0.09028561942655765	No data	No data	maltase-glucoamylase
IGF2	0.6049058494993218	0.7819830899614063	No data	No data	No data	0.7895397418741248	No data	No data	insulin like growth factor 2
SCN9A	0.6005403460845196	0.442290974780787	No data	0.8732214242669922	No data	0.18220952050365488	No data	No data	sodium voltage-gated channel alpha subunit 9
MC4R	0.5981020757623883	0.7659854975856559	No data	No data	No data	0.6738564901003256	No data	0.8067339348760978	melanocortin 4 receptor
SLC5A1	0.5923174691377963	0.41631653550931574	No data	0.8552474267828833	No data	0.4465485381958726	No data	0.40539189760066935	solute carrier family 5 member 1
CTLA4	0.5901133548871346	0.768852269785161	No data	No data	No data	0.4331845089206974	No data	No data	cytotoxic T-lymphocyte associated protein 4
SCN1A	0.588881068482634	0.359341575808837	No data	0.8732214242669922	No data	No data	No data	0.2523520740885839	sodium voltage-gated channel alpha subunit 1
KLF11	0.5876195744633612	0.6678330775801401	0.19453785523571876	No data	No data	0.4884327168677518	No data	No data	KLF transcription factor 11
NEUROG3	0.587296038154842	0.753193606683829	No data	No data	No data	0.3402978188723876	No data	0.9140245408888652	neurogenin 3
PCSK9	0.5868639008484563	0.3622651729524463	No data	0.854058335811326	No data	0.9324866452487454	No data	No data	proprotein convertase subtilisin/kexin type 9
ADRB1	0.5784510459927109	0.4080665819844268	No data	0.8466883027013656	No data	0.12613944952799702	No data	No data	adrenoceptor beta 1
SI	0.5753974824356147	0.04494751879197886	No data	0.9296273289989553	No data	0.23727338274763604	No data	No data	sucrase-isomaltase
MTNR1B	0.5742959402081235	0.8759875480938991	No data	0.1291852944924695	No data	0.799328051808678	No data	0.8569747794973898	melatonin receptor 1B
NR3C2	0.5686544960484171	0.27318868693785675	No data	0.8594194307589713	No data	0.3454588712923762	No data	No data	nuclear receptor subfamily 3 group C member 2
EDNRB	0.5648676591402627	0.4376180810343396	No data	0.8172278616560219	No data	0.11394113479579095	No data	No data	endothelin receptor type B
SCN3A	0.561754686297961	0.032601006194924134	No data	0.8732214242669922	No data	0.14574634263740605	No data	0.9075643122554039	sodium voltage-gated channel alpha subunit 3
SLC12A3	0.5611589871352319	0.03669307659462159	No data	0.902546656288287	No data	0.3288051699236747	No data	No data	solute carrier family 12 member 3
LDLR	0.5604643101756107	0.8761468061827513	No data	No data	No data	0.34119938664470084	No data	0.7638443534105558	low density lipoprotein receptor
SCN4A	0.559356265481973	0.039783593265897435	No data	0.8902693973778735	No data	0.12622358764055072	No data	0.476619831729466	sodium voltage-gated channel alpha subunit 4
