symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
TNF	0.7162579341056324	0.607930797611621	No data	0.9980856904095695	No data	0.992814505058773	No data	0.4847183638266889	tumor necrosis factor
IL6R	0.7074378045079495	0.6425511134981127	No data	0.9926287280423618	No data	0.4686733823350486	No data	No data	interleukin 6 receptor
TYK2	0.6783644670582922	0.4474401127189256	No data	0.9866713001383202	No data	0.779701935362987	No data	No data	tyrosine kinase 2
JAK2	0.6763232493671123	0.43484584792951014	No data	0.9894502869042737	No data	0.4420199279587492	No data	0.3612780747506461	Janus kinase 2
MIF	0.6726330012293475	0.607930797611621	No data	0.9338206293980015	No data	0.9282097400058884	No data	No data	macrophage migration inhibitory factor
TRAF3IP2	0.6652737370136907	0.5880198095007522	No data	0.9338206293980015	No data	0.41395333398612033	0.024730415607504327	0.32819144109063364	TRAF3 interacting protein 2
PTGS2	0.6481307909826243	0.19130749236574232	No data	0.9991916177826835	No data	0.8294481553100613	0.054021158550519095	No data	prostaglandin-endoperoxide synthase 2
PADI4	0.6318891831163084	0.7547177233453621	No data	No data	No data	0.9724036738265759	No data	No data	peptidyl arginine deiminase 4
IL12B	0.6204077043997052	0.7186385245637434	No data	0.831740787382398	No data	0.4105415579774311	No data	No data	interleukin 12B
STAT4	0.6031969306276149	0.7797252447675943	No data	No data	No data	0.7900466539059245	No data	No data	signal transducer and activator of transcription 4
PDE4A	0.584658624553465	0.10675344671053082	No data	0.9317220619942193	No data	0.1488878449094771	No data	No data	phosphodiesterase 4A
PADI2	0.5736401495516731	0.7392299769174343	No data	No data	No data	0.8800657465437529	No data	No data	peptidyl arginine deiminase 2
ANKRD55	0.5444969048516031	0.885187872677105	No data	No data	No data	0.20936380929798426	No data	No data	ankyrin repeat domain 55
PTPN2	0.5361162501414055	0.8466308023539557	No data	No data	No data	0.704794403177609	No data	No data	protein tyrosine phosphatase non-receptor type 2
PTPN22	0.5298876951328098	0.6300038132263289	No data	No data	No data	0.9394063729193126	No data	0.2971565738725604	protein tyrosine phosphatase non-receptor type 22
RASGRP1	0.527138604101416	0.8294399996556473	No data	No data	No data	0.6307298912187168	0.03544038255805995	0.255756486555209	RAS guanyl releasing protein 1
IRF5	0.5109119104902932	0.664344319887048	No data	No data	No data	0.44914039972352165	No data	No data	interferon regulatory factor 5
IL6	0.5081761732117321	0.607930797611621	No data	0.6620505450133076	No data	0.9845087905806903	No data	No data	interleukin 6
ERAP1	0.4948371708254729	0.7851868668062055	No data	No data	No data	0.4529061107846063	No data	0.27618296135495946	endoplasmic reticulum aminopeptidase 1
NOS2	0.4943431184055762	0.7615190224580471	No data	0.15198269940290526	No data	0.613898795793883	No data	No data	nitric oxide synthase 2
CCR6	0.4937840941371388	0.7797367552004264	No data	No data	No data	0.5281013126649599	No data	0.27429837588236344	C-C motif chemokine receptor 6
IL2RA	0.49026074924673796	0.7690641125812052	No data	No data	No data	0.7475518582063668	No data	No data	interleukin 2 receptor subunit alpha
TNFAIP3	0.48952845947569157	0.7553576160438661	No data	No data	No data	0.8798681460222267	No data	0.26487544851938327	TNF alpha induced protein 3
FCRL3	0.4893551026577527	0.6335685237404244	No data	No data	No data	0.5846098925550158	No data	No data	Fc receptor like 3
AFF3	0.4891949696956397	0.7854581115098336	No data	No data	No data	0.3846093509616085	No data	No data	ALF transcription elongation factor 3
SPRED2	0.48530283125904533	0.7892137840658369	No data	No data	No data	0.18145045612046856	No data	No data	sprouty related EVH1 domain containing 2
ARID5B	0.48366009590163433	0.7921871663916655	No data	No data	No data	0.03822871498981077	0.05094877110942152	No data	AT-rich interaction domain 5B
CD28	0.47867676156658223	0.739821425587558	No data	0.06079307976116211	No data	0.8162142627619127	No data	No data	CD28 molecule
REL	0.4765576648700527	0.744727829497525	No data	No data	No data	0.6546125442939297	No data	0.28992219738098207	REL proto-oncogene, NF-kB subunit
CTLA4	0.4746330752129435	0.7265923766043052	No data	No data	No data	0.9337952036134147	No data	0.33539542104233133	cytotoxic T-lymphocyte associated protein 4
CD40	0.47169348501930675	0.7240032496524692	No data	0.07599134970145263	No data	0.8690646550946505	No data	No data	CD40 molecule
