symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
LMNA	0.9071948911713036	0.9783798084845332	0.607930797611621	No data	No data	0.8884839144306582	No data	0.7311466724928913	lamin A/C
SCN5A	0.922526667541987	0.9681794989101234	No data	0.9967807596895982	No data	0.8337633181008128	No data	0.9795158816287562	sodium voltage-gated channel alpha subunit 5
MYH7	0.917225871988041	0.9676844406267572	0.607930797611621	0.8414530956478117	No data	0.8715440248380463	No data	0.5643378087280163	myosin heavy chain 7
GAA	0.8952592788139836	0.965200964791764	No data	0.16253705352810702	0.607930797611621	0.27957955546622487	No data	0.73894827782337	alpha glucosidase
GBA1	0.8037196911032471	0.964343513287522	No data	No data	No data	0.17893639998313413	No data	0.6438160697852727	glucosylceramidase beta 1
COL4A1	0.8960156179477893	0.9617462869730565	No data	0.9136537873504055	No data	0.8856897138461611	No data	0.8259441070634284	collagen type IV alpha 1 chain
MYBPC3	0.9087717081316915	0.9615871616139426	0.792800864468655	No data	No data	0.9483897233603399	No data	0.7232905609933402	myosin binding protein C3
ABCC6	0.8795836290128968	0.9598562835184077	No data	No data	0.607930797611621	0.5038154867184359	No data	0.5371341490278935	ATP binding cassette subfamily C member 6
ENG	0.8940251642927276	0.9583642102232172	0.7129677298656288	0.42555155832813474	No data	0.9236950287175042	No data	0.5746364110204781	endoglin
KCNQ1	0.9007789743382282	0.9554841855631957	No data	0.6552505574612978	No data	0.4858232491284822	No data	0.9578891249464209	potassium voltage-gated channel subfamily Q member 1
TTN	0.9036182824028682	0.9544260422466073	0.8610509874381396	No data	No data	0.8134469211633103	No data	0.6751222279815345	titin
DES	0.8831687508249756	0.9543222805333065	0.42555155832813474	No data	No data	0.6019739953742442	No data	0.8710463626024593	desmin
RYR2	0.8788068072884987	0.9526552597505761	No data	No data	No data	0.9248603112434093	No data	0.9809434707114674	ryanodine receptor 2
RAF1	0.9057457281546879	0.9523152128570419	0.8570518642563272	0.7922041437832252	0.9729913772431035	0.16204374493743348	No data	0.48495455346975647	Raf-1 proto-oncogene, serine/threonine kinase
NKX2-5	0.8931176767464544	0.9516886122931997	0.7447152270742359	No data	No data	0.8436185095469807	No data	0.8632080274657207	NK2 homeobox 5
CHD7	0.8750861901505718	0.9500854505967505	No data	No data	No data	0.6761476002615041	No data	0.40540096271388804	chromodomain helicase DNA binding protein 7
KCNH2	0.9108357904694229	0.9498371181366964	0.6960807632653061	0.9956002124374259	No data	0.46930687889007777	No data	0.7909941718693188	potassium voltage-gated channel subfamily H member 2
ADA2	0.8454100866294318	0.9493499086946253	No data	No data	No data	0.20813817555141173	No data	No data	adenosine deaminase 2
ACVRL1	0.8563453953217569	0.9476934272331231	0.6228419891197061	No data	No data	0.5361578473114162	No data	0.49958555856633596	activin A receptor like type 1
ACTC1	0.8716370253977207	0.9469841827141999	No data	No data	No data	0.2686829027428139	No data	0.46893127604943036	actin alpha cardiac muscle 1
KCNJ2	0.8954591320159574	0.9464193278039243	No data	0.9689051889107337	No data	0.6235940945798838	No data	0.3809003077660562	potassium inwardly rectifying channel subfamily J member 2
BRAF	0.8961303297588145	0.9462443581695364	0.7816187976706812	0.7922041437832252	0.9703567939903968	0.6210666291388375	No data	0.45902158830701423	B-Raf proto-oncogene, serine/threonine kinase
KRAS	0.8861464927184463	0.9456986420038694	0.7365925961394805	No data	0.9671529481664186	0.5048589929269551	No data	0.6819706404021303	KRAS proto-oncogene, GTPase
HRAS	0.8984083991910319	0.9450688446883826	0.6918814696264359	No data	0.9671529481664186	0.2159785951927146	No data	0.3517605803747042	HRas proto-oncogene, GTPase
JAG1	0.8697733543315628	0.9441801905331466	No data	No data	No data	0.6708358076478357	No data	0.48840271818895287	jagged canonical Notch ligand 1
DMD	0.8721439509786049	0.9428367403561592	0.6228419891197061	0.9484263390546889	No data	0.9057592192423298	No data	0.7091822200971789	dystrophin
APP	0.8692796742833557	0.9425395365440944	No data	0.15198269940290526	0.7599134970145264	0.697073925525418	No data	0.6295897610862892	amyloid beta precursor protein
STAMBPL1	0.571955833769516	0.9408239161703272	No data	No data	No data	No data	No data	No data	STAM binding protein like 1
PTPN11	0.8684381504453521	0.94038199265017	0.5440980638624009	No data	No data	0.8224315136422107	No data	0.6196135444336722	protein tyrosine phosphatase non-receptor type 11
TNNT2	0.8883153111598064	0.9396592693934362	No data	0.9723144878025809	No data	0.955821209763885	No data	0.6692762439666813	troponin T2, cardiac type
IDUA	0.8369652064913121	0.9385398995472621	No data	No data	No data	0.1520883640876875	No data	0.4438831108547468	alpha-L-iduronidase
PLOD1	0.5971893965602775	0.9379499217674132	No data	No data	No data	0.6575064271198389	No data	0.5177685498765137	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1
ATRIP	0.5698708555664567	0.9373942853451567	No data	No data	No data	No data	No data	No data	ATR interacting protein
