symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
LPA	0.5710563823721415	0.8943545005987884	No data	No data	No data	0.8997977264198498	No data	No data	lipoprotein(a)
APOE	0.7794218503382527	0.8928217170539553	No data	No data	No data	0.9585534184551661	No data	0.6102748621438492	apolipoprotein E
PHACTR1	0.5445978463931499	0.8758306669726519	No data	No data	No data	0.39982874680784963	No data	No data	phosphatase and actin regulator 1
COL4A1	0.5362550529878737	0.8694254618484014	No data	No data	No data	0.2534676161428836	No data	No data	collagen type IV alpha 1 chain
EDNRA	0.5446561661856328	0.860640104119821	No data	0.12158615952232422	No data	0.21966263742933423	No data	No data	endothelin receptor type A
LDLR	0.6665369823866002	0.8585956439718739	No data	No data	No data	0.7014568345080999	No data	0.6056191347896552	low density lipoprotein receptor
TCF21	0.5377034446423532	0.8422710007119563	No data	No data	No data	0.8442067246867461	No data	No data	transcription factor 21
LRP6	0.6980275263889448	0.8365755585571626	No data	No data	No data	0.5287981017117767	No data	0.3650016508860173	LDL receptor related protein 6
CDKN2B	0.5316947738265357	0.8348828590699259	No data	No data	No data	0.7942934128272064	No data	No data	cyclin dependent kinase inhibitor 2B
JCAD	0.5142094392665991	0.82994266763651	No data	No data	No data	0.31785628878737887	No data	No data	junctional cadherin 5 associated
PLPP3	0.5118342102937982	0.8222530410244931	No data	No data	No data	0.39350739499263027	No data	No data	phospholipid phosphatase 3
COL4A2	0.501900511883375	0.817355075902091	No data	No data	No data	0.16466310566839729	No data	No data	collagen type IV alpha 2 chain
SWAP70	0.4981729030285949	0.8148971166862129	No data	No data	No data	0.09118961964174316	No data	No data	switching B cell complex subunit SWAP70
HHIPL1	0.49631428950469353	0.8108519510235661	No data	No data	No data	0.11094737056412086	No data	No data	HHIP like 1
GUCY1A1	0.5135204829328708	0.806689170321755	No data	0.1473387835878165	No data	0.05302507512501362	No data	No data	guanylate cyclase 1 soluble subunit alpha 1
ARHGAP42	0.49431345496781487	0.7980010183475305	No data	No data	No data	No data	No data	0.3021416064129757	Rho GTPase activating protein 42
MEF2A	0.49943196687336866	0.7789113344398895	No data	No data	No data	0.8523265529688068	No data	No data	myocyte enhancer factor 2A
CELA2A	0.47352418881477415	0.7789113344398895	No data	No data	No data	No data	No data	No data	chymotrypsin like elastase 2A
APOC3	0.5074339385351089	0.7789113344398895	No data	No data	No data	0.9483134889073671	No data	0.3763480037447742	apolipoprotein C3
FLT1	0.49571846454870844	0.7780392506837184	No data	0.13678442946261474	No data	0.14327436116887385	No data	No data	fms related receptor tyrosine kinase 1
KCNK5	0.46875961776878333	0.7669704439740143	No data	No data	No data	0.08207065767756885	No data	No data	potassium two pore domain channel subfamily K member 5
