Disease,Classification,MovementDisorder
AD,Neurodegenerative,0
ALS,Neurodegenerative,0
AnorexiaNervosa,Psychiatric,0
BipolarDisorder,Psychiatric,0
BrainAneurysm,Vascular,0
EssentialTremor,Neurodegenerative,1
FrontotemporalDementia,Neurodegenerative,0
IntracranialHemorrhage,Vascular,0
LBD,Neurodegenerative,0
MajorDepressiveDisorder,Psychiatric,0
MigraineDisorder,Vascular,0
MigraineWithAura,Vascular,0
MS,Other,0
NarcolepsyCataplexy,Other,0
Narcolepsy,Other,0
NeuroticDisorder,Psychiatric,0
OCD,Psychiatric,0
PartialEpilepsy,Other,0
PD,Neurodegenerative,1
ProgressiveSupranuclearPalsy,Neurodegenerative,1
RestlessLeg,Other,1
Schizophrenia,Psychiatric,0
TouretteSyndrome,Other,1
UnipolarDepression,Psychiatric,0
