,index,gene,pagerank_score,source_disease,ensembl_gene_id,druggability_tier,hgnc_names,chr_b37,start_b37,end_b37,strand,description,no_of_gwas_regions,small_mol_druggable,bio_druggable,adme_gene
0,0,FYN,0.0564525804200281,PD,ENSG00000010810,Tier 1,FYN,6,111981535.0,112194655.0,-1.0,"FYN oncogene related to SRC, FGR, YES [Source:HGNC Symbol;Acc:4037]",1.0,1.0,1.0,1.0
0,0,FYN,0.0564525804200281,Schizophrenia,ENSG00000010810,Tier 1,FYN,6,111981535.0,112194655.0,-1.0,"FYN oncogene related to SRC, FGR, YES [Source:HGNC Symbol;Acc:4037]",1.0,1.0,1.0,1.0
1,1,CXCR4,0.0198942424528421,MS,ENSG00000121966,Tier 1,CXCR4,2,136871919.0,136875735.0,-1.0,chemokine (C-X-C motif) receptor 4 [Source:HGNC Symbol;Acc:2561],0.0,1.0,1.0,1.0
2,2,STAT3,0.019722984222456,MS,ENSG00000168610,Tier 1,STAT3,17,40465342.0,40540586.0,-1.0,signal transducer and activator of transcription 3 (acute-phase response factor) [Source:HGNC Symbol;Acc:11364],6.0,1.0,1.0,1.0
3,3,TNFRSF1A,0.0124572730330199,MS,ENSG00000067182,Tier 1,TNFRSF1A,12,6437923.0,6451280.0,-1.0,"tumor necrosis factor receptor superfamily, member 1A [Source:HGNC Symbol;Acc:11916]",3.0,1.0,1.0,1.0
4,4,BMPR1B,0.0095887452384463,Schizophrenia,ENSG00000138696,Tier 1,BMPR1B,4,95679119.0,96079599.0,1.0,"bone morphogenetic protein receptor, type IB [Source:HGNC Symbol;Acc:1077]",0.0,1.0,1.0,1.0
5,5,LRP1,0.0086517878259959,MigraineDisorder,ENSG00000123384,Tier 3A,LRP1,12,57522276.0,57607134.0,1.0,low density lipoprotein receptor-related protein 1 [Source:HGNC Symbol;Acc:6692],7.0,1.0,1.0,1.0
5,5,LRP1,0.0086517878259959,MigraineWithAura,ENSG00000123384,Tier 3A,LRP1,12,57522276.0,57607134.0,1.0,low density lipoprotein receptor-related protein 1 [Source:HGNC Symbol;Acc:6692],7.0,1.0,1.0,1.0
5,5,LRP1,0.0086517878259959,Schizophrenia,ENSG00000123384,Tier 3A,LRP1,12,57522276.0,57607134.0,1.0,low density lipoprotein receptor-related protein 1 [Source:HGNC Symbol;Acc:6692],7.0,1.0,1.0,1.0
6,6,ITGB5,0.0086426552821295,MigraineDisorder,ENSG00000082781,Tier 1,ITGB5,3,124480795.0,124620265.0,-1.0,"integrin, beta 5 [Source:HGNC Symbol;Acc:6160]",0.0,1.0,1.0,1.0
7,7,NGF,0.0081797839501774,MigraineDisorder,ENSG00000134259,Tier 1,NGF,1,115828539.0,115880857.0,-1.0,nerve growth factor (beta polypeptide) [Source:HGNC Symbol;Acc:7808],0.0,1.0,1.0,1.0
8,8,RELN,0.0079996841582723,PartialEpilepsy,ENSG00000189056,Tier 3A,RELN,7,103112231.0,103629963.0,-1.0,reelin [Source:HGNC Symbol;Acc:9957],1.0,1.0,1.0,1.0
9,9,DPP4,0.0077338368495669,Schizophrenia,ENSG00000197635,Tier 1,DPP4,2,162848751.0,162931052.0,-1.0,dipeptidyl-peptidase 4 [Source:HGNC Symbol;Acc:3009],2.0,1.0,1.0,1.0
10,10,SNCA,0.0076904934011844,LBD,ENSG00000145335,Tier 2,SNCA,4,90645250.0,90759466.0,-1.0,"synuclein, alpha (non A4 component of amyloid precursor) [Source:HGNC Symbol;Acc:11138]",13.0,1.0,1.0,1.0
10,10,SNCA,0.0076904934011844,PD,ENSG00000145335,Tier 2,SNCA,4,90645250.0,90759466.0,-1.0,"synuclein, alpha (non A4 component of amyloid precursor) [Source:HGNC Symbol;Acc:11138]",13.0,1.0,1.0,1.0
11,11,NRP1,0.0073227245863569,MigraineDisorder,ENSG00000099250,Tier 1,NRP1,10,33466420.0,33625190.0,-1.0,neuropilin 1 [Source:HGNC Symbol;Acc:8004],0.0,1.0,1.0,1.0
12,12,ITGA9,0.0072650043092857,ALS,ENSG00000144668,Tier 3A,ITGA9,3,37493606.0,37865005.0,1.0,"integrin, alpha 9 [Source:HGNC Symbol;Acc:6145]",3.0,1.0,1.0,1.0
13,13,ACVR1B,0.0070925908273591,MajorDepressiveDisorder,ENSG00000135503,Tier 1,ACVR1B,12,52345451.0,52390862.0,1.0,"activin A receptor, type IB [Source:HGNC Symbol;Acc:172]",0.0,1.0,1.0,1.0
14,14,IL6R,0.0069193387035759,AD,ENSG00000160712,Tier 1,IL6R,1,154377669.0,154441926.0,1.0,interleukin 6 receptor [Source:HGNC Symbol;Acc:6019],9.0,1.0,1.0,1.0
15,15,TLR4,0.0067728234026778,NeuroticDisorder,ENSG00000136869,Tier 2,TLR4,9,120466610.0,120479149.0,1.0,toll-like receptor 4 [Source:HGNC Symbol;Acc:11850],0.0,1.0,1.0,1.0
15,15,TLR4,0.0067728234026778,UnipolarDepression,ENSG00000136869,Tier 2,TLR4,9,120466610.0,120479149.0,1.0,toll-like receptor 4 [Source:HGNC Symbol;Acc:11850],0.0,1.0,1.0,1.0
16,16,IFNGR2,0.0065465353319326,MS,ENSG00000159128,Tier 1,IFNGR2,21,34775202.0,34851655.0,1.0,interferon gamma receptor 2 (interferon gamma transducer 1) [Source:HGNC Symbol;Acc:5440],2.0,1.0,1.0,1.0
17,17,EFNA5,0.0061021344814975,BipolarDisorder,ENSG00000184349,Tier 3A,EFNA5,5,106712590.0,107006596.0,-1.0,ephrin-A5 [Source:HGNC Symbol;Acc:3225],0.0,1.0,1.0,1.0
17,17,EFNA5,0.0061021344814975,Schizophrenia,ENSG00000184349,Tier 3A,EFNA5,5,106712590.0,107006596.0,-1.0,ephrin-A5 [Source:HGNC Symbol;Acc:3225],0.0,1.0,1.0,1.0
17,17,EFNA5,0.0061021344814975,UnipolarDepression,ENSG00000184349,Tier 3A,EFNA5,5,106712590.0,107006596.0,-1.0,ephrin-A5 [Source:HGNC Symbol;Acc:3225],0.0,1.0,1.0,1.0
18,18,CRH,0.005912369293855,PartialEpilepsy,ENSG00000147571,Tier 3B,CRH,8,67088620.0,67090960.0,-1.0,corticotropin releasing hormone [Source:HGNC Symbol;Acc:2355],0.0,1.0,1.0,1.0
19,19,ITGA8,0.0059003994423237,PD,ENSG00000077943,Tier 3A,ITGA8,10,15555948.0,15762124.0,-1.0,"integrin, alpha 8 [Source:HGNC Symbol;Acc:6144]",0.0,1.0,1.0,1.0
20,20,LEPR,0.0051833331032399,Schizophrenia,ENSG00000116678,Tier 3A,LEPR,1,65886248.0,66107242.0,1.0,leptin receptor [Source:HGNC Symbol;Acc:6554],8.0,1.0,1.0,1.0
21,21,APOB,0.0051141324849353,AD,ENSG00000084674,Tier 1,APOB,2,21224301.0,21266945.0,-1.0,apolipoprotein B [Source:HGNC Symbol;Acc:603],36.0,1.0,1.0,1.0
21,21,APOB,0.0051141324849353,BipolarDisorder,ENSG00000084674,Tier 1,APOB,2,21224301.0,21266945.0,-1.0,apolipoprotein B [Source:HGNC Symbol;Acc:603],36.0,1.0,1.0,1.0
22,22,WNT4,0.0050673455714935,Schizophrenia,ENSG00000162552,Tier 3A,WNT4,1,22443798.0,22470462.0,-1.0,"wingless-type MMTV integration site family, member 4 [Source:HGNC Symbol;Acc:12783]",11.0,1.0,1.0,1.0
23,23,IL7R,0.004993666387761,MS,ENSG00000168685,Tier 3A,IL7R,5,35852797.0,35879705.0,1.0,interleukin 7 receptor [Source:HGNC Symbol;Acc:6024],4.0,1.0,1.0,1.0
24,24,IL12A,0.0049402669768785,MS,ENSG00000168811,Tier 3A,IL12A,3,159706537.0,159713806.0,1.0,"interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35) [Source:HGNC Symbol;Acc:5969]",2.0,1.0,1.0,1.0
26,26,ERBB4,0.004907657524283,ALS,ENSG00000178568,Tier 1,ERBB4,2,212240446.0,213403565.0,-1.0,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4 [Source:HGNC Symbol;Acc:3432],1.0,1.0,1.0,1.0
26,26,ERBB4,0.004907657524283,FrontotemporalDementia,ENSG00000178568,Tier 1,ERBB4,2,212240446.0,213403565.0,-1.0,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4 [Source:HGNC Symbol;Acc:3432],1.0,1.0,1.0,1.0
26,26,ERBB4,0.004907657524283,MajorDepressiveDisorder,ENSG00000178568,Tier 1,ERBB4,2,212240446.0,213403565.0,-1.0,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4 [Source:HGNC Symbol;Acc:3432],1.0,1.0,1.0,1.0
26,26,ERBB4,0.004907657524283,UnipolarDepression,ENSG00000178568,Tier 1,ERBB4,2,212240446.0,213403565.0,-1.0,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4 [Source:HGNC Symbol;Acc:3432],1.0,1.0,1.0,1.0
27,27,GAL,0.0045368784282019,PartialEpilepsy,ENSG00000069482,Tier 3B,GAL,11,68451247.0,68458643.0,1.0,galanin/GMAP prepropeptide [Source:HGNC Symbol;Acc:4114],0.0,1.0,1.0,1.0
28,28,PTN,0.0045182148253269,AnorexiaNervosa,ENSG00000105894,Tier 3B,PTN,7,136912088.0,137028611.0,-1.0,pleiotrophin [Source:HGNC Symbol;Acc:9630],0.0,1.0,1.0,1.0
28,28,PTN,0.0045182148253269,BipolarDisorder,ENSG00000105894,Tier 3B,PTN,7,136912088.0,137028611.0,-1.0,pleiotrophin [Source:HGNC Symbol;Acc:9630],0.0,1.0,1.0,1.0
28,28,PTN,0.0045182148253269,OCD,ENSG00000105894,Tier 3B,PTN,7,136912088.0,137028611.0,-1.0,pleiotrophin [Source:HGNC Symbol;Acc:9630],0.0,1.0,1.0,1.0
28,28,PTN,0.0045182148253269,Schizophrenia,ENSG00000105894,Tier 3B,PTN,7,136912088.0,137028611.0,-1.0,pleiotrophin [Source:HGNC Symbol;Acc:9630],0.0,1.0,1.0,1.0
28,28,PTN,0.0045182148253269,TouretteSyndrome,ENSG00000105894,Tier 3B,PTN,7,136912088.0,137028611.0,-1.0,pleiotrophin [Source:HGNC Symbol;Acc:9630],0.0,1.0,1.0,1.0
28,28,PTN,0.0045182148253269,UnipolarDepression,ENSG00000105894,Tier 3B,PTN,7,136912088.0,137028611.0,-1.0,pleiotrophin [Source:HGNC Symbol;Acc:9630],0.0,1.0,1.0,1.0
29,29,PTK2B,0.0045174981713164,AD,ENSG00000120899,Tier 1,PTK2B,8,27168999.0,27316903.0,1.0,protein tyrosine kinase 2 beta [Source:HGNC Symbol;Acc:9612],1.0,1.0,1.0,1.0
30,30,CALCB,0.0044123616970599,MigraineDisorder,ENSG00000175868,Tier 3A,CALCB,11,14926543.0,15103888.0,1.0,calcitonin-related polypeptide beta [Source:HGNC Symbol;Acc:1438],4.0,1.0,1.0,1.0
31,31,NECTIN2,0.0043939023089224,AD,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
31,31,NECTIN2,0.0043939023089224,PD,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
32,32,ESR1,0.0043896533176271,UnipolarDepression,ENSG00000091831,Tier 1,ESR1,6,151977826.0,152450754.0,1.0,estrogen receptor 1 [Source:HGNC Symbol;Acc:3467],14.0,1.0,1.0,1.0
33,33,NRXN1,0.004305362768983,Schizophrenia,ENSG00000179915,Tier 3A,NRXN1,2,50145643.0,51259674.0,-1.0,neurexin 1 [Source:HGNC Symbol;Acc:8008],0.0,1.0,1.0,1.0
33,33,NRXN1,0.004305362768983,UnipolarDepression,ENSG00000179915,Tier 3A,NRXN1,2,50145643.0,51259674.0,-1.0,neurexin 1 [Source:HGNC Symbol;Acc:8008],0.0,1.0,1.0,1.0
34,34,APOE,0.0040915853088913,AD,ENSG00000130203,Tier 3A,APOE,19,45409011.0,45412650.0,1.0,apolipoprotein E [Source:HGNC Symbol;Acc:613],84.0,1.0,1.0,1.0
34,34,APOE,0.0040915853088913,LBD,ENSG00000130203,Tier 3A,APOE,19,45409011.0,45412650.0,1.0,apolipoprotein E [Source:HGNC Symbol;Acc:613],84.0,1.0,1.0,1.0
34,34,APOE,0.0040915853088913,PD,ENSG00000130203,Tier 3A,APOE,19,45409011.0,45412650.0,1.0,apolipoprotein E [Source:HGNC Symbol;Acc:613],84.0,1.0,1.0,1.0
36,36,NOTCH3,0.0039897704734317,MigraineDisorder,ENSG00000074181,Tier 3B,NOTCH3,19,15270444.0,15311792.0,-1.0,notch 3 [Source:HGNC Symbol;Acc:7883],0.0,1.0,1.0,1.0
36,36,NOTCH3,0.0039897704734317,MigraineWithAura,ENSG00000074181,Tier 3B,NOTCH3,19,15270444.0,15311792.0,-1.0,notch 3 [Source:HGNC Symbol;Acc:7883],0.0,1.0,1.0,1.0
37,37,FGF20,0.0038185720603465,PD,ENSG00000078579,Tier 3B,FGF20,8,16849678.0,16859690.0,-1.0,fibroblast growth factor 20 [Source:HGNC Symbol;Acc:3677],0.0,1.0,1.0,1.0
38,38,STAT6,0.0037889419829804,MigraineDisorder,ENSG00000166888,Tier 2,STAT6,12,57489191.0,57525922.0,-1.0,"signal transducer and activator of transcription 6, interleukin-4 induced [Source:HGNC Symbol;Acc:11368]",8.0,1.0,1.0,1.0
38,38,STAT6,0.0037889419829804,MigraineWithAura,ENSG00000166888,Tier 2,STAT6,12,57489191.0,57525922.0,-1.0,"signal transducer and activator of transcription 6, interleukin-4 induced [Source:HGNC Symbol;Acc:11368]",8.0,1.0,1.0,1.0
38,38,STAT6,0.0037889419829804,Schizophrenia,ENSG00000166888,Tier 2,STAT6,12,57489191.0,57525922.0,-1.0,"signal transducer and activator of transcription 6, interleukin-4 induced [Source:HGNC Symbol;Acc:11368]",8.0,1.0,1.0,1.0
39,39,CNTN1,0.0037377451179535,PD,ENSG00000018236,Tier 3A,CNTN1,12,41086244.0,41466220.0,1.0,contactin 1 [Source:HGNC Symbol;Acc:2171],1.0,1.0,1.0,1.0
40,40,FGF6,0.0036079353022027,MigraineDisorder,ENSG00000111241,Tier 3B,FGF6,12,4537321.0,4554780.0,-1.0,fibroblast growth factor 6 [Source:HGNC Symbol;Acc:3684],0.0,1.0,1.0,1.0
41,41,APP,0.0034884788088614,AD,ENSG00000142192,Tier 1,APP,21,27252861.0,27543446.0,-1.0,amyloid beta (A4) precursor protein [Source:HGNC Symbol;Acc:620],0.0,1.0,1.0,1.0
42,42,PILRA,0.0034330640184512,AD,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
43,43,WNT7B,0.0034242043216302,BipolarDisorder,ENSG00000188064,Tier 3A,WNT7B,22,46316242.0,46373009.0,-1.0,"wingless-type MMTV integration site family, member 7B [Source:HGNC Symbol;Acc:12787]",0.0,1.0,1.0,1.0
43,43,WNT7B,0.0034242043216302,MajorDepressiveDisorder,ENSG00000188064,Tier 3A,WNT7B,22,46316242.0,46373009.0,-1.0,"wingless-type MMTV integration site family, member 7B [Source:HGNC Symbol;Acc:12787]",0.0,1.0,1.0,1.0
43,43,WNT7B,0.0034242043216302,Schizophrenia,ENSG00000188064,Tier 3A,WNT7B,22,46316242.0,46373009.0,-1.0,"wingless-type MMTV integration site family, member 7B [Source:HGNC Symbol;Acc:12787]",0.0,1.0,1.0,1.0
43,43,WNT7B,0.0034242043216302,UnipolarDepression,ENSG00000188064,Tier 3A,WNT7B,22,46316242.0,46373009.0,-1.0,"wingless-type MMTV integration site family, member 7B [Source:HGNC Symbol;Acc:12787]",0.0,1.0,1.0,1.0
44,44,WNT3,0.003421010713609,PD,ENSG00000108379,Tier 2,WNT3,17,44839872.0,44910520.0,-1.0,"wingless-type MMTV integration site family, member 3 [Source:HGNC Symbol;Acc:12782]",13.0,1.0,1.0,1.0
44,44,WNT3,0.003421010713609,Schizophrenia,ENSG00000108379,Tier 2,WNT3,17,44839872.0,44910520.0,-1.0,"wingless-type MMTV integration site family, member 3 [Source:HGNC Symbol;Acc:12782]",13.0,1.0,1.0,1.0
46,46,TGFB1,0.0032172016648887,MigraineDisorder,ENSG00000105329,Tier 1,TGFB1,19,41807492.0,41859816.0,-1.0,"transforming growth factor, beta 1 [Source:HGNC Symbol;Acc:11766]",1.0,1.0,1.0,1.0
47,47,PRKD1,0.0031516901943885,BipolarDisorder,ENSG00000184304,Tier 1,PRKD1,14,30045687.0,30661104.0,-1.0,protein kinase D1 [Source:HGNC Symbol;Acc:9407],2.0,1.0,1.0,1.0
47,47,PRKD1,0.0031516901943885,Schizophrenia,ENSG00000184304,Tier 1,PRKD1,14,30045687.0,30661104.0,-1.0,protein kinase D1 [Source:HGNC Symbol;Acc:9407],2.0,1.0,1.0,1.0
48,48,DCC,0.0031509448493008,AnorexiaNervosa,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
48,48,DCC,0.0031509448493008,BipolarDisorder,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
48,48,DCC,0.0031509448493008,MajorDepressiveDisorder,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
48,48,DCC,0.0031509448493008,NeuroticDisorder,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
48,48,DCC,0.0031509448493008,OCD,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
48,48,DCC,0.0031509448493008,Schizophrenia,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
48,48,DCC,0.0031509448493008,TouretteSyndrome,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
