symbol	overallAssociationScore	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	objectObject	targetName
LRRK2	0.8781328592648435	0.9534238826261895	No data	No data	No data	0.9851068579929023	No data	No data	leucine rich repeat kinase 2
SNCA	0.8628569645069281	0.9353741145984737	No data	0.17465293511588148	No data	0.9862876868450727	No data	No data	synuclein alpha
PRKN	0.8567613368594951	0.9425147190797314	No data	No data	No data	0.894583919896135	No data	No data	parkin RBR E3 ubiquitin protein ligase
ATP13A2	0.8547757463862459	0.9414917536969482	No data	No data	No data	0.46815986393779085	No data	No data	ATPase cation transporting 13A2
PINK1	0.8303190811062777	0.9299382459466163	No data	No data	No data	0.8539002543429097	No data	No data	PTEN induced kinase 1
PARK7	0.8150649223587327	0.9113716244064255	No data	No data	No data	0.8520127296569069	No data	0.5127524116068511	Parkinsonism associated deglycase
FBXO7	0.7803655750170694	0.8757787687983803	No data	No data	No data	0.33166411847005006	No data	No data	F-box protein 7
VPS35	0.7793146067748358	0.8746317788107443	No data	No data	No data	0.32266129877753175	No data	No data	VPS35 retromer complex component
GIGYF2	0.7701469941531159	0.8884894119167324	No data	No data	No data	0.24624085282041588	No data	No data	GRB10 interacting GYF protein 2
PLA2G6	0.711414939396711	0.8205824242333393	No data	No data	No data	0.2541623304413584	No data	No data	phospholipase A2 group VI
GBA1	0.6994189707800199	0.8365120216050651	No data	No data	No data	0.9524232557265065	No data	No data	glucosylceramidase beta 1
VPS13C	0.6653205535213502	0.7684781731454182	No data	No data	No data	0.04846559414292646	No data	No data	vacuolar protein sorting 13 homolog C
MAPT	0.6569889470423668	0.7891925575674272	No data	No data	No data	0.5214537411922795	No data	No data	microtubule associated protein tau
EIF4G1	0.6509497155165364	0.7831572003279706	No data	No data	No data	0.38391090245148357	No data	No data	eukaryotic translation initiation factor 4 gamma 1
DNAJC6	0.6195988234930883	0.7475067460428607	No data	No data	No data	0.13341455962562984	0.01069961510590474	No data	DnaJ heat shock protein family (Hsp40) member C6
HTRA2	0.6133111415036309	0.7322468146245827	No data	No data	No data	0.6026352939770668	No data	0.581005065025633	HtrA serine peptidase 2
UCHL1	0.612159219996037	0.7321459816049168	No data	No data	No data	0.5962150873379534	No data	0.37133932945111847	ubiquitin C-terminal hydrolase L1
SCN2A	0.589284127335728	0.5176147941152466	No data	0.8399239447668558	No data	No data	No data	No data	sodium voltage-gated channel alpha subunit 2
BRCA2	0.5665098575332522	0.9312577679939296	No data	No data	No data	0.012158615952232422	No data	No data	BRCA2 DNA repair associated
CHCHD2	0.565948124066149	0.7393113977621326	No data	No data	No data	0.30610992103447937	No data	No data	coiled-coil-helix-coiled-coil-helix domain containing 2
