gene,gene_id,chromosome,type
TSPAN6,ENSG00000000003,X,protein_coding
TNMD,ENSG00000000005,X,protein_coding
DPM1,ENSG00000000419,20,protein_coding
SCYL3,ENSG00000000457,1,protein_coding
C1orf112,ENSG00000000460,1,protein_coding
FGR,ENSG00000000938,1,protein_coding
CFH,ENSG00000000971,1,protein_coding
FUCA2,ENSG00000001036,6,protein_coding
GCLC,ENSG00000001084,6,protein_coding
NFYA,ENSG00000001167,6,protein_coding
STPG1,ENSG00000001460,1,protein_coding
NIPAL3,ENSG00000001461,1,protein_coding
LAS1L,ENSG00000001497,X,protein_coding
ENPP4,ENSG00000001561,6,protein_coding
SEMA3F,ENSG00000001617,3,protein_coding
CFTR,ENSG00000001626,7,protein_coding
ANKIB1,ENSG00000001629,7,protein_coding
CYP51A1,ENSG00000001630,7,protein_coding
KRIT1,ENSG00000001631,7,protein_coding
RAD52,ENSG00000002016,12,protein_coding
BAD,ENSG00000002330,11,protein_coding
LAP3,ENSG00000002549,4,protein_coding
CD99,ENSG00000002586,X,protein_coding
HS3ST1,ENSG00000002587,4,protein_coding
AOC1,ENSG00000002726,7,protein_coding
WNT16,ENSG00000002745,7,protein_coding
HECW1,ENSG00000002746,7,protein_coding
MAD1L1,ENSG00000002822,7,protein_coding
LASP1,ENSG00000002834,17,protein_coding
SNX11,ENSG00000002919,17,protein_coding
TMEM176A,ENSG00000002933,7,protein_coding
M6PR,ENSG00000003056,12,protein_coding
KLHL13,ENSG00000003096,X,protein_coding
CYP26B1,ENSG00000003137,2,protein_coding
ICA1,ENSG00000003147,7,protein_coding
DBNDD1,ENSG00000003249,16,protein_coding
ALS2,ENSG00000003393,2,protein_coding
CASP10,ENSG00000003400,2,protein_coding
CFLAR,ENSG00000003402,2,protein_coding
TFPI,ENSG00000003436,2,protein_coding
NDUFAF7,ENSG00000003509,2,protein_coding
RBM5,ENSG00000003756,3,protein_coding
MTMR7,ENSG00000003987,8,protein_coding
SLC7A2,ENSG00000003989,8,protein_coding
ARF5,ENSG00000004059,7,protein_coding
SARM1,ENSG00000004139,17,protein_coding
POLDIP2,ENSG00000004142,17,protein_coding
PLXND1,ENSG00000004399,3,protein_coding
AK2,ENSG00000004455,1,protein_coding
CD38,ENSG00000004468,4,protein_coding
FKBP4,ENSG00000004478,12,protein_coding
KDM1A,ENSG00000004487,1,protein_coding
RBM6,ENSG00000004534,3,protein_coding
CAMKK1,ENSG00000004660,17,protein_coding
RECQL,ENSG00000004700,12,protein_coding
VPS50,ENSG00000004766,7,protein_coding
HSPB6,ENSG00000004776,19,protein_coding
ARHGAP33,ENSG00000004777,19,protein_coding
NDUFAB1,ENSG00000004779,16,protein_coding
PDK4,ENSG00000004799,7,protein_coding
SLC22A16,ENSG00000004809,6,protein_coding
ZMYND10,ENSG00000004838,3,protein_coding
ABCB5,ENSG00000004846,7,protein_coding
ARX,ENSG00000004848,X,protein_coding
SLC25A13,ENSG00000004864,7,protein_coding
ST7,ENSG00000004866,7,protein_coding
CDC27,ENSG00000004897,17,protein_coding
SLC4A1,ENSG00000004939,17,protein_coding
CALCR,ENSG00000004948,7,protein_coding
HCCS,ENSG00000004961,X,protein_coding
DVL2,ENSG00000004975,17,protein_coding
PRSS22,ENSG00000005001,16,protein_coding
UPF1,ENSG00000005007,19,protein_coding
SKAP2,ENSG00000005020,7,protein_coding
SLC25A5,ENSG00000005022,X,protein_coding
MCUB,ENSG00000005059,4,protein_coding
HOXA11,ENSG00000005073,7,protein_coding
POLR2J,ENSG00000005075,7,protein_coding
DHX33,ENSG00000005100,17,protein_coding
MEOX1,ENSG00000005102,17,protein_coding
THSD7A,ENSG00000005108,7,protein_coding
